orderId,drugbankId,name,category,chemicalFormula,smiles,description,relatedDrugs
169,DB00498,Phenindione,Small Molecule,C15H10O2,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1,"An indandione that has been used as an anticoagulant. Phenindione has actions similar to warfarin, but it is now rarely employed because of its higher incidence of severe adverse effects. (From Martindale, The Extra Pharmacopoeia, 30th ed, p234)","['DrugA', 'DrugB', 'DrugC']"
170,DB00499,Flutamide,Small Molecule,C11H11F3N2O3,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,An antiandrogen with about the same potency as cyproterone in rodent and canine species.,"['DrugA', 'DrugB', 'DrugC']"
171,DB00312,Pentobarbital,Small Molecule,C11H18N2O3,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,"A short-acting barbiturate that is effective as a sedative and hypnotic (but not as an anti-anxiety) agent and is usually given orally. It is prescribed more frequently for sleep induction than for sedation but, like similar agents, may lose its effectiveness by the second week of continued administration. (From AMA Drug Evaluations Annual, 1994, p236)","['DrugA', 'DrugB', 'DrugC']"
172,DB00755,Tretinoin,Small Molecule,C20H28O2,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,"Tretinoin, also known as all-trans-retinoic acid (ATRA), is a naturally occurring derivative of vitamin A (retinol).1 It is an oxidation product in the physiological pathway of vitamin A metabolism.5 In human circulation, tretinoin is normally found at very low concentrations, approximately 4 to 14 nmol/L.5 Tretinoin exhibits anti-inflammatory, antineoplastic, antioxidant, and free radical-scavenging activities.5 It has been used in dermatology for many years to treat various skin conditions ranging from acne to wrinkles 1,11 and activates nuclear receptors to regulate epithelial cell growth and differentiation.1,2,3 Tretinoin is given orally to treat acute promyelocytic leukemia 13 and topically to treat skin conditions such as acne.15,12,14","['DrugA', 'DrugB', 'DrugC']"
173,DB00238,Nevirapine,Small Molecule,C15H14N4O,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,"A potent, non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with nucleoside analogues for treatment of Human Immunodeficiency Virus Type 1 (HIV-1) infection and AIDS. Structurally, nevirapine belongs to the dipyridodiazepinone chemical class.","['DrugA', 'DrugB', 'DrugC']"
174,DB01349,Tasosartan,Small Molecule,C23H21N7O,CC1=NC(C)=C2CCC(=O)N(CC3=CC=C(C=C3)C3=CC=CC=C3C3=NNN=N3)C2=N1,Tasosartan is a long-acting angiotensin II (AngII) receptor blocker. Its long duration of action has been attributed to its active metabolite enoltasosartan. It is used to treat patients with essential hypertension.,"['DrugA', 'DrugB', 'DrugC']"
175,DB00656,Trazodone,Small Molecule,C19H22ClN5O,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,"Trazodone is triazolopyridine derivative from the serotonin receptor antagonists and reuptake inhibitors (SARIs) class of antidepressants.11 It is used in adults and has been shown to be comparable in efficacy to other drugs such as tricyclic antidepressants (TCAs), selective serotonin reuptake inhibitors (SSRIs), and serotonin-norepinephrine receptor inhibitor (SNRIs) in the treatment of depression.20 A unique feature of this drug is that it does not promote the anxiety symptoms, sexual symptoms, or insomnia, which are commonly associated with SSRI and SNRI therapy.20 Trazodone acts on various receptors, including certain histamine, serotonin, and adrenergic receptors, distinguishing it from other antidepressants that cover a narrow range of neurotransmitters.20 It was initially granted FDA approval in 1981.21","['DrugA', 'DrugB', 'DrugC']"
176,DB08439,Parecoxib,Small Molecule,C19H18N2O4S,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C1=C(C)ON=C1C1=CC=CC=C1,"Parecoxib is a water-soluble and injectable prodrug of valdecoxib. It is marketed as Dynastat in the European Union. Parecoxib is a COX2 selective inhibitor in the same category as celecoxib (Celebrex) and rofecoxib (Vioxx). As it is injectable, it can be used perioperatively when patients are unable to take oral medications. It is approved through much of Europe for short term perioperative pain control much in the same way ketorolac (Toradol) is used in the United States. A letter of non-approval for parecoxib was issued by the FDA in 2005.","['DrugA', 'DrugB', 'DrugC']"
177,DB01201,Rifapentine,Small Molecule,C47H64N4O12,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(CC1)C1CCCC1)=C2O,"Rifapentine is an antibiotic drug used in the treatment of tuberculosis. It inhibits DNA-dependent RNA polymerase activity in susceptible cells. Specifically, it interacts with bacterial RNA polymerase but does not inhibit the mammalian enzyme.","['DrugA', 'DrugB', 'DrugC']"
178,DB11614,Rupatadine,Small Molecule,C26H26ClN3,CC1=CC(CN2CCC(CC2)=C2C3=CC=C(Cl)C=C3CCC3=C2N=CC=C3)=CN=C1,Rupatadine is a dual histamine H1 receptor and platelet activating factor receptor antagonist that is used for symptomatic relief in seasonal and perennial rhinitis as well as chronic spontaneous urticaria. It was approved for marketing in Canada under the tradename Rupall and comes in tablet formulation for adult use and liquid formulation for pediatric use.,"['DrugA', 'DrugB', 'DrugC']"
179,DB00997,Doxorubicin,Small Molecule,C27H29NO11,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,"Doxorubicin is a cytotoxic anthracycline antibiotic isolated from cultures of Streptomyces peucetius var. caesius along side with daunorubicin, another cytotoxic agent, in 1970.3,39,31 Although they both have aglyconic and sugar moieties, doxorubicin's side chain terminates with a primary alcohol group compared to the methyl group of daunorubicin.39 Although its detailed molecular mechanisms have yet to be understood, doxorubicin is generally thought to exert its effect through DNA intercalation, which eventually leads to DNA damage and the generation of reactive oxygen species.31 Thanks to its efficacy and broad effect, doxorubicin was approved by the FDA in 1974 to treat a variety of cancer, including but not limited to breast, lung, gastric, ovarian, thyroid, non-Hodgkin’s and Hodgkin’s lymphoma, multiple myeloma, sarcoma, and pediatric cancers.1,31,42 However, one of the major side effects of doxorubicin is cardiotoxicity, which excludes patients with poor heart function and requires treatment termination once the maximally tolerated cumulative dose is reached.40","['DrugA', 'DrugB', 'DrugC']"
180,DB00991,Oxaprozin,Small Molecule,C18H15NO3,OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1,"Oxaprozin is a non-narcotic, non-steroidal anti-inflammatory drug (NSAID), used to relieve the inflammation, swelling, stiffness, and joint pain associated with osteoarthritis and rheumatoid arthritis.","['DrugA', 'DrugB', 'DrugC']"
181,DB00193,Tramadol,Small Molecule,C16H25NO2,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,"Tramadol is a centrally acting synthetic opioid analgesic and SNRI (serotonin/norepinephrine reuptake-inhibitor) that is structurally related to codeine and morphine. Due to its good tolerability profile and multimodal mechanism of action, tramadol is generally considered a lower-risk opioid option for the treatment of moderate to severe pain. It is considered a Step 2 option on the World Health Organization's pain ladder and has about 1/10th of the potency of morphine.  Tramadol differs from other traditional opioid medications in that it doesn't just act as a μ-opioid agonist, but also affects monoamines by modulating the effects of neurotransmitters involved in the modulation of pain such as serotonin and norepinpehrine which activate descending pain inhibitory pathways.13 Tramadol's effects on serotonin and norepinephrine mimic the effects of other SNRI antidepressants such as duloxetine and venlafaxine. Tramadol exists as a racemic mixture consisting of two pharmacologically active enantiomers that both contribute to its analgesic property through different mechanisms and are also themselves metabolized into active metabolites: (+)-tramadol and its primary metabolite (+)-O-desmethyl-tramadol (M1) are agonists of the μ opioid receptor while (+)-tramadol inhibits serotonin reuptake and (-)-tramadol inhibits norepinephrine reuptake. These pathways are complementary and synergistic, improving tramadol's ability to modulate the perception of and response to pain.12,25  Tramadol has also been shown to affect a number of other pain modulators within the central nervous system as well as non-neuronal inflammatory markers and immune mediators.17,18,20,26,16 Due to the broad spectrum of targets involved in pain and inflammation, it's not surprising that the evidence has shown that tramadol is effective for a number of pain types including neuropathic pain, post-operative pain, lower back pain, as well as pain associated with labour, osteoarthritis, fibromyalgia, and cancer. Due to its SNRI activity, tramadol also has anxiolytic, antidepressant, and anti-shivering effects which are all frequently found as comorbidities with pain.16 Similar to other opioid medications, tramadol poses a risk for development of tolerance, dependence and abuse. If used in higher doses, or with other opioids, there is a dose-related risk of overdose, respiratory depression, and death.22,37 However, unlike other opioid medications, tramadol use also carries a risk of seizure and serotonin syndrome, particularly if used with other serotonergic medications.23,24","['DrugA', 'DrugB', 'DrugC']"
182,DB00153,Ergocalciferol,Small Molecule,C28H44O,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,"Ergocalciferol is an inactivated vitamin D analog.1 It is synthesized by some plants in the presence of UVB light.6 The production of ergocalciferol was prompted by the identification of dietary deficiency, more specifically vitamin D, as the main causative factor for the development of rickets. Ergocalciferol was isolated for the first time from yeast in 1931 and its structure was elucidated in 1932.7 Ergocalciferol is considered the first vitamin D analog and is differentiated from cholecalciferol by the presence of a double bond between C22 and C23 and the presence of a methyl group at C24. These modifications reduce the affinity of ergocalciferol for the vitamin D binding protein resulting in faster clearance, limits its activation, and alters its catabolism.3 The first approved product containing ergocalciferol under the FDA records was developed by US Pharm Holdings and was FDA approved in 1941.10","['DrugA', 'DrugB', 'DrugC']"
183,DB00808,Indapamide,Small Molecule,C16H16ClN3O3S,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,"The most significant modifiable risk factor for cardiovascular disease and the most prominent contributor to all-cause mortality is hypertension.17 Characterized by an office blood pressure of ≥140/90, hypertension is pervasive and impacts an estimated 25% of adults globally.17 Treatment for hypertension should include a number of lifestyle changes (ie. reduced sodium intake) along with pharmacotherapy - it should be noted that treatment with several antihypertensive agents may be required in order to achieve blood pressure targets.17 Thiazide-like diuretics such as indapamide are a valuable tool for the treatment of hypertension and continue to grow in popularity, falling behind only ACE inhibitors in terms of prescription frequency.16 When compared to hydrochlorothiazide (another commonly prescribed diuretic), indapamide has been shown to be superior at lowering systolic blood pressure, reducing left ventricular mass index, lowering oxidative stress, inhibiting platelet aggregation, and reducing microalbuminuria associated with diabetes.16 Interestingly, unlike thiazide diuretics, several sources suggest that indapamide is not associated with glucose or lipid disturbances.16,19  Indapamide is characterized by both a methylindoline and a sulfamoyl chlorobenzamide functional group, with the former being largely responsible for the molecule’s lipid solubility.18","['DrugA', 'DrugB', 'DrugC']"
184,DB01551,Dihydrocodeine,Small Molecule,C18H23NO3,[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC,"Dihydrocodeine is an opioid analgesic used as an alternative or adjunct to codeine to treat moderate to severe pain, severe dyspnea, and cough.  It is semi-synthetic, and was developed in Germany in 1908 during an international search to find a more effective antitussive agent to help reduce the spread of airborne infectious diseases such as tuburculosis. It was marketed in 1911.","['DrugA', 'DrugB', 'DrugC']"
185,DB09236,Lacidipine,Small Molecule,C26H33NO6,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1\C=C\C(=O)OC(C)(C)C)C(=O)OCC,"Lacidipine is a lipophilic dihydropyridine calcium antagonist with an intrinsically slow onset of activity. Due to its long duration of action, lacidipine does not lead to reflex tachycardia 1. It displays specificity in the vascular smooth muscle, where it acts as an antihypertensive agent to dilate peripheral arterioles and reduce blood pressure. Compared to other dihydropyridine calcium antagonists, lacidipine exhibits a greater antioxidant activity which may confer potentially beneficial antiatherosclerotic effects 4. Lacidipine is a highly lipophilic molecule that interacts with the biological membranes. Through radiotracer analysis, it was determined that lacidipine displays a high membrane partition coefficient leading to accumulation of the drug in the membrane and slow rate of membrane washout 3. When visualized by small-angle X-ray diffraction with angstrom resolution to examine its location within the membranes, lacidipine was found deep within the membrane's hydrocarbon core 3. These results may explain the long clinical half-life of lacidipine 3.  In randomised, well-controlled trials, administration of daily single-dose lacidipine ranging from 2-6 mg demonstrated comparable antihypertensive efficacy similar to that of other long-acting dihydropyridine calcium antagonists, thiazide diuretics, atenolol (a beta-blocker) and enalapril (an ACE inhibitor) 1. It is available as once-daily oral tablets containing 2 or 4 mg of the active compound commonly marketed as Lacipil or Motens. It is not currently FDA-approved.","['DrugA', 'DrugB', 'DrugC']"
186,DB00448,Lansoprazole,Small Molecule,C16H14F3N3O2S,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,"Lansoprazole marketed under the brand Prevacid, is a proton pump inhibitor (PPI) and is structurally classified as a substituted benzimidazole.4 It reduces gastric acid secretion by targeting gastric H,K-ATPase pumps and is thus effective at promoting healing in ulcerative diseases, and treating gastroesophageal reflux disease (GERD) along with other pathologies caused by excessive acid secretion.2","['DrugA', 'DrugB', 'DrugC']"
187,DB01558,Bromazepam,Small Molecule,C14H10BrN3O,BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,One of the benzodiazepines that is used in the treatment of anxiety disorders. It is a Schedule IV drug in the U.S. and Canada and under the Convention on Psychotropic Substances. It is a intermediate-acting benzodiazepine.,"['DrugA', 'DrugB', 'DrugC']"
188,DB01559,Clotiazepam,Small Molecule,C16H15ClN2OS,CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=CC=CC=C1Cl,"Clotiazepam is a thienodiazepine, not approved for sale in the U.S. or Canada, but has been approved in the U.K. It is a schedule IV drug in Canada.","['DrugA', 'DrugB', 'DrugC']"
189,DB08828,Vismodegib,Small Molecule,C19H14Cl2N2O3S,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,"Vismodegib is an orally active small molecule that inhibits the hedgehog signaling pathway by binding to and inhibiting the transmembrane protein smoothened homologue (SMO).4,5,6 It was discovered by high-throughput screening of a library of small-molecule compounds and subsequent optimization through medicinal chemistry.1 Since it targets the hedgehog signaling pathway, vismodegib has anti-tumor activity in basal-cell carcinoma. The Hedgehog signaling pathway plays an important role in the development of organs and tissues during embryogenesis. Afterwards, it is silenced in all cells and tissues, except for hair, skin and stem cells. However, dysregulated or aberrant Hedgehog signaling has been associated with basal cell carcinoma pathogenesis.3,6 In January 2012, vismodegib was approved by the FDA for the treatment of adult basal cell carcinoma. In July 2013, it was approved by the EMA, and since then, it has been approved by several other countries.2,5,6","['DrugA', 'DrugB', 'DrugC']"
190,DB01244,Bepridil,Small Molecule,C24H34N2O,CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,"A long-acting, non selective, calcium channel blocker with significant anti-anginal activity. The drug produces significant coronary vasodilation and modest peripheral effects. It has antihypertensive and selective anti-arrhythmia activities and acts as a calmodulin antagonist. It is no longer marketed in the United States, as it has been implicated in causing ventricular arrhythmias (ie. Torsade de pointes).","['DrugA', 'DrugB', 'DrugC']"
191,DB00673,Aprepitant,Small Molecule,C23H21F7N4O3,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,"Aprepitant, an antiemetic, is a substance P/neurokinin 1 (NK1) receptor antagonist which, in combination with other antiemetic agents, is indicated for the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapy. Aprepitant is a selective high-affinity antagonist of human substance P/neurokinin 1 (NK1) receptors. Aprepitant has little or no affinity for serotonin (5-HT3), dopamine, and corticosteroid receptors, the targets of existing therapies for chemotherapy-induced nausea and vomiting (CI NV).","['DrugA', 'DrugB', 'DrugC']"
192,DB00812,Phenylbutazone,Small Molecule,C19H20N2O2,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,"A drug that has anti-inflammatory, antipyretic, and analgesic activities. It is especially effective in the treatment of ankylosing spondylitis. It also is useful in rheumatoid arthritis and Reiter's syndrome (investigational indication). Although phenylbutazone is effective in gouty arthritis, risk/benefit considerations indicate that this drug should not be employed for this disease. (From AMA Drug Evaluations Annual, 1994, p1822)","['DrugA', 'DrugB', 'DrugC']"
193,DB08918,Levomilnacipran,Small Molecule,C15H22N2O,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1,"Levomilnacipran is a selective serotonin and norepinephrine reuptake inhibitor (SNRI), although it is a more potent inhibitor of norepinephrine reuptake than serotonin reuptake.2,3 Levomilnacipran is the more active 1S,2R-enantiomer in the racemate milnacipran.2,6 Once administered, interconversion between levomilnacipran and its stereoisomer does not occur in humans.4 First approved by the FDA on July 25, 2013, levomilnacipran is used to treat major depressive disorder in adults.6 While levomilnacipran was previously investigated and proposed as a potential treatment for stroke in Europe, the EMA decided against this use.7","['DrugA', 'DrugB', 'DrugC']"
194,DB00849,Methylphenobarbital,Small Molecule,C13H14N2O3,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1,"A barbiturate that is metabolized to phenobarbital. It has been used for similar purposes, especially in epilepsy, but there is no evidence mephobarbital offers any advantage over phenobarbital.","['DrugA', 'DrugB', 'DrugC']"
195,DB00924,Cyclobenzaprine,Small Molecule,C20H21N,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12,"Cyclobenzaprine, a centrally-acting muscle relaxant, was first synthesized in 196111 and has been available for human use since 1977.10 It was initially studied for use as antidepressant given its structural similarity to tricyclic antidepressants - it differs from Amitriptyline by only a single double bond.11,10 Since its approval, it has remained relatively popular as an adjunctive, short-term treatment for acute skeletal muscle spasms secondary to musculoskeletal injury.","['DrugA', 'DrugB', 'DrugC']"
196,DB04946,Iloperidone,Small Molecule,C24H27FN2O4,COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O,"Iloperidone is a benzisoxazole 5 and an atypical antipsychotic agent that was first approved by the FDA on May 6, 2009.1 It is considered to be a second-generation antipsychotic drug 4 with multiple receptor binding profile, although it shows high affinity towards 5-HT2A and dopamine D2 receptors.3 Iloperidone is currently used to treat schizophrenia and manic or mixed episodes associated with bipolar disorder.6","['DrugA', 'DrugB', 'DrugC']"
197,DB01351,Amobarbital,Small Molecule,C11H18N2O3,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,"A barbiturate with hypnotic and sedative properties (but not antianxiety). Adverse effects are mainly a consequence of dose-related CNS depression and the risk of dependence with continued use is high. (From Martindale, The Extra Pharmacopoeia, 30th ed, p565)","['DrugA', 'DrugB', 'DrugC']"
198,DB00091,Cyclosporine,Small Molecule,C62H111N11O12,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,"Cyclosporine is a calcineurin inhibitor known for its immunomodulatory properties that prevent organ transplant rejection and treat various inflammatory and autoimmune conditions. It is isolated from the fungus Beauveria nivea.2 Initially manufactured by Sandoz and approved for use by the FDA in 1983, cyclosporine is now available in various products by Novartis (previously known as Sandoz).25,26,27","['DrugA', 'DrugB', 'DrugC']"
199,DB00904,Ondansetron,Small Molecule,C18H19N3O,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,"A competitive serotonin type 3 receptor antagonist. It is effective in the treatment of nausea and vomiting caused by cytotoxic chemotherapy drugs, including cisplatin, and has reported anxiolytic and neuroleptic properties. Having been developed in the 1980s by GlaxoSmithKline and approved by the US FDA since January 1991, ondansetron has demonstrated a long history of use and efficacy. Commonly formulated as oral tablets, orally disintegrating tablets (ODT), and injections, and available as generic products as well, ondansetron continues to see contemporary innovations in its formulation and use, including the development of orally soluble films that are both discreet in administration and less of a burden in comparison to having patients attempt to swallow pills during emesis.7 The FDA withdrew its approval for the use of all intravenous drug products containing more than 16 mg of ondansetron hydrochloride in a single dose, due to a high risk of QT prolongation.8,9","['DrugA', 'DrugB', 'DrugC']"
200,DB00907,Cocaine,Small Molecule,C17H21NO4,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C,"An alkaloid ester extracted from the leaves of plants including coca. It is a local anesthetic and vasoconstrictor and is clinically used for that purpose, particularly in the eye, ear, nose, and throat. It also has powerful central nervous system effects similar to the amphetamines and is a drug of abuse. Cocaine, like amphetamines, acts by multiple mechanisms on brain catecholaminergic neurons; the mechanism of its reinforcing effects is thought to involve inhibition of dopamine uptake.","['DrugA', 'DrugB', 'DrugC']"
201,DB00906,Tiagabine,Small Molecule,C20H25NO2S2,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1,"Tiagabine is an anti-convulsive medication. It is also used in the treatment for panic disorder as are a few other anticonvulsants. Though the exact mechanism by which tiagabine exerts its effect on the human body is unknown, it does appear to operate as a selective GABA reuptake inhibitor.","['DrugA', 'DrugB', 'DrugC']"
202,DB01221,Ketamine,Small Molecule,C13H16ClNO,CNC1(CCCCC1=O)C1=CC=CC=C1Cl,"Ketamine is an NMDA receptor antagonist with a potent anesthetic effect.6 It was developed in 1963 as a replacement for phencyclidine (PCP) by Calvin Stevens at Parke Davis Laboratories. It started being used for veterinary purposes in Belgium and in 1964 was proven that compared to PCP, it produced minor hallucinogenic effects and shorter psychotomimetic effects. It was FDA approved in 1970, and from there, it has been used as an anesthetic for children or patients undergoing minor surgeries but mainly for veterinary purposes.14","['DrugA', 'DrugB', 'DrugC']"
203,DB00759,Tetracycline,Small Molecule,C22H24N2O8,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,Tetracycline is a broad spectrum polyketide antibiotic produced by the Streptomyces genus of Actinobacteria. It exerts a bacteriostatic effect on bacteria by binding reversible to the bacterial 30S ribosomal subunit and blocking incoming aminoacyl tRNA from binding to the ribosome acceptor site. It also binds to some extent to the bacterial 50S ribosomal subunit and may alter the cytoplasmic membrane causing intracellular components to leak from bacterial cells. The FDA withdrew its approval for the use of all liquid oral drug products formulated for pediatric use containing tetracycline in a concentration greater than 25 mg/ml.2 Other formulations of tetracycline continue to be used.,"['DrugA', 'DrugB', 'DrugC']"
204,DB06282,Levocetirizine,Small Molecule,C21H25ClN2O3,OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1,"Levocetirizine is a selective histamine H1 antagonist used to treat a variety of allergic symptoms.2,3,4 It is the R enantiomer of cetirizine.4 Levocetirizine has greater affinity for the histamine H1 receptor than cetirizine.4 Levocetirizine was granted FDA approval in 1995.4","['DrugA', 'DrugB', 'DrugC']"
205,DB00418,Secobarbital,Small Molecule,C12H18N2O3,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,"Secobarbital (marketed by Eli Lilly and Company under the brand names Seconal and Tuinal) is a barbiturate derivative drug with anaesthetic, anticonvulsant, sedative and hypnotic properties. It is commonly known as quinalbarbitone in the United Kingdom.","['DrugA', 'DrugB', 'DrugC']"
206,DB01259,Lapatinib,Small Molecule,C29H26ClFN4O4S,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1,"Lapatinib is an anti-cancer drug developed by GlaxoSmithKline (GSK) as a treatment for solid tumours such as breast and lung cancer. It was approved by the FDA on March 13, 2007, for use in patients with advanced metastatic breast cancer in conjunction with the chemotherapy drug capecitabine. Lapatinib is a human epidermal growth factor receptor type 2 (HER2/ERBB2) and epidermal growth factor receptor (HER1/EGFR/ERBB1) tyrosine kinases inhibitor. It binds to the intracellular phosphorylation domain to prevent receptor autophosphorylation upon ligand binding.","['DrugA', 'DrugB', 'DrugC']"
207,DB01177,Idarubicin,Small Molecule,C26H27NO9,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O,"An orally administered anthracycline antineoplastic. The compound has shown activity against breast cancer, lymphomas and leukemias, together with the potential for reduced cardiac toxicity.","['DrugA', 'DrugB', 'DrugC']"
208,DB08910,Pomalidomide,Small Molecule,C13H11N3O4,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,"Pomalidomide, an analogue of thalidomide, is an immunomodulatory antineoplastic agent. FDA approved on February 8, 2013.","['DrugA', 'DrugB', 'DrugC']"
209,DB00843,Donepezil,Small Molecule,C24H29NO3,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,"In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.16 Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia.  Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with Memantine in 2014 to manage moderate and severe forms of Alzheimer's dementia.19,22 A donepezil transdermal delivery system, Adlarity, was approved by the FDA in March 2022 for the treatment of Alzheimer's dementia.24 Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.18","['DrugA', 'DrugB', 'DrugC']"
210,DB01008,Busulfan,Small Molecule,C6H14O6S2,CS(=O)(=O)OCCCCOS(C)(=O)=O,"Busulfan is a bifunctional alkylating agent, having a selective immunosuppressive effect on bone marrow. It is not a structural analog of the nitrogen mustards. It has been used in the palliative treatment of chronic myeloid leukemia (myeloid leukemia, chronic), but although symptomatic relief is provided, no permanent remission is brought about. According to the Fourth Annual Report on Carcinogens (NTP 85-002, 1985), busulfan is listed as a known carcinogen.","['DrugA', 'DrugB', 'DrugC']"
211,DB01009,Ketoprofen,Small Molecule,C16H14O3,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,"Ketoprofen, a propionic acid derivative, is a nonsteroidal anti-inflammatory agent (NSAIA) with analgesic and antipyretic properties.","['DrugA', 'DrugB', 'DrugC']"
